Number,Class,Owner,Operator,PoolCode,Livery,Depot,Formation,Name,PreservedAt,StoredAt,YearBuilt,WorksNumber
DR72211,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR72213,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DX73010,OTMs,,Preserved (OTM),,Yellow,,,,Aln Valley Railway,,,
DR73105,OTMs,,Colas Rail (OTM),,Yellow & white with Colas Rail logos,,,,,Cardiff Canton,,
DR73108,OTMs,,* Miscellaneous On-Track Machines,,Colas Rail orange & black,,,Tiger,,,,
DR73109,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with Swietelsky logos,,,,,,,
DR73110,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,Yellow with SBRail logos,,,Peter White,,,,
DR73111,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,"Reading Panel 1965 - 2005 ",,,,
DR73112,OTMs,,* Miscellaneous On-Track Machines,,,,,John Tiley,,,,
DR73113,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Dai Evans,,,,
DR73114,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,Ron Henderson,,,,
DR73115,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73116,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73117,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73118,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73120,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73121,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73122,OTMs,,Network Rail (OTM),,Yellow with Network Rail logos,,,,,,,
DR73202,OTMs,,B&R Track Services (OTM),,green,,,,,,,
DR73214,OTMs,,,,,,,,,,,
DR73216,OTMs,,Preserved (OTM),,Yellow & grey with Jarvis logo,,,,Swindon & Cricklade Railway,,,
DR73241,OTMs,,Preserved (OTM),,Yellow & white,,,,Churnet Valley Railway,,,
DR73250,OTMs,,North Yorkshire Moors Railway,,Yellow & white,,,,North Yorkshire Moors Railway,,,
DR73274,OTMs,,Preserved (OTM),,Two-tone green,,,,South Devon Railway,,,
DR73307,OTMs,,North Yorkshire Moors Railway,,Yellow with RSS logos,,,,North Yorkshire Moors Railway,,,
DR73309,OTMs,,B&R Track Services (OTM),,Yellow with B&R Track Services,,,,,,,
DR73315,OTMs,,Preserved (OTM),,Yellow,,,,Bluebell Railway,,,
DR73405,OTMs,,Preserved (OTM),,Yellow & white,,,,Foxfield Railway,,,
DR73431,OTMs,,Preserved (OTM),,Maroon with Fastline logos,,,,Battlefield Line,,,
DR73434,OTMs,,Kent & East Sussex Railway,,Balfour Beatty blue & white,Kent & East Sussex Railway,,,,,,
DR73435,OTMs,,Preserved (OTM),,Yellow with Fastline logos,,,,Wensleydale Railway,,,
DR73502,OTMs,,Trackwork (OTM),,Trackwork yellow & green,,,,,,,
DR73503,OTMs,,Stobart Rail (OTM),,Stobart Rail yellow,,,Grace,,,,
DR73803,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,Alexander Graham Bell,,,,
DR73804,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,James Watt,,,,
DR73805,OTMs,,* Miscellaneous On-Track Machines,,Yellow,,,,,,,
DR73806,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Karine,,,,
DR73904,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,Thomas Telford,,,,
DR73905,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73906,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Panther,,,,
DR73907,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73908,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73909,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Saturn,,,,
DR73910,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Jupiter,,,,
DR73911,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Puma,,,,
DR73912,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Lynx,,,,
DR73913,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73914,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SBRail white, orange & blue",,,Robert McAlpine,,,,
DR73915,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,William Arrol,,,,
DR73916,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,First Engineering,,,,
DR73917,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73918,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73919,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73920,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73921,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73922,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,John Snowdon,,,,
DR73923,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73924,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73925,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,Europa,,,,
DR73926,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,Stephen Keith Blanchard,,,,
DR73927,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,Ashford OTPD,,
DR73928,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73929,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73930,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73931,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73932,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"First Engineering white, purple & green",,,,,,,
DR73933,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, orange & blue",,,,,,,
DR73934,OTMs,,Swietelsky Babcock Rail (SBRail) (OTM),,"SB Rail white, blue & orange",,,,,,,
DR73935,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73936,OTMs,,Colas Rail (OTM),,Colas Rail orange & black,,,,,,,
DR73937,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73938,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,,,,,
DR73939,OTMs,,Balfour Beatty Rail Services (OTM),,Balfour Beatty blue & white,,,Pat Best,,,,
